cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,LEPOPHIDIUM JEANNAE,MENTICIRRHUS SAXATILIS,SQUALUS ACANTHIAS,LUTJANIDAE,LEUCORAJA OCELLATA,LEUCORAJA ERINACEA,TAUTOGOLABRUS ADSPERSUS,PORTUNIDAE,FISTULARIA SP,ARIOMMA BONDI,MENTICIRRHUS AMERICANUS,SYNAGROPS BELLUS,CITHARICHTHYS ARCTIFRONS,SQUATINA DUMERIL,POMATOMUS SALTATRIX,OPHIDION MARGINATUM,BATHYNECTES LONGISPINA,MAUROLICUS WEITZMANI,MYCTOPHIDAE,SPIRONTOCARIS LILJEBORGII,SCORPAENIDAE,DASYATIS CENTROURA,STOMATOPODA,HIPPOGLOSSUS HIPPOGLOSSUS,MENIDIA MENIDIA,SELENE SETAPINNIS,DASYATIS AMERICANA,MYOXOCEPHALUS AENAEUS,ETROPUS SP,ALUTERUS HEUDELOTI,NEMICHTHYS SCOLOPACEUS,UPENEUS PARVUS,BUCCINUM UNDATUM,ALUTERUS MONOCEROS,ANTIGONIA CAPROS,PRIONOTUS CAROLINUS,ULVARIA SUBBIFURCATA,PERISTEDION MINIATUM,TRICHIURUS LEPTURUS,HOMARUS AMERICANUS,CANCER BOREALIS,CYNOSCION REGALIS,OPHIDION GRAYI,GLYPTOCEPHALUS CYNOGLOSSUS,GERYON FENNERI,ARGENTINA SILUS,PORICHTHYS PLECTRODON,BROSME BROSME,HELICOLENUS DACTYLOPTERUS,MACROZOARCES AMERICANUS,HALICHOERUS GRYPUS,TRACHINOCEPHALUS MYOPS,LYCENCHELYS VERRILLI,SYNAGROPS SPINOSUS,PANDALUS MONTAGUI,GADUS MORHUA,LITHODES MAJA,GERYON QUINQUEDENS,XENOLEPIDICHTHYS DALGLEISHI,STOLOTEUTHIS LEUCOPTERA,OSMERUS MORDAX,TORPEDO NOBILIANA,BOTHUS OCELLATUS,SYMPHURUS SP,AMMODYTES DUBIUS,ILLEX ILLECEBROSUS,TRIGLOPS MURRAYI,PRIONOTUS RUBIO,PARALICHTHYS DENTATUS,ETRUMEUS TERES,PARASUDIS TRUCULENTA,CHLOROPHTHALMUS AGASSIZI,CHIONOECETES OPILIO,FOETOREPUS AGASSIZI,MELANOGRAMMUS AEGLEFINUS,ANTHIAS NICHOLSI,MACRORHAMPHOSUS SCOLOPAX,CONGRIDAE,MALACORAJA SENTA,HALIEUTICHTHYS ACULEATUS,PONTOPHILUS NORVEGICUS,CAULOLATILUS MICROPS,CONGER OCEANICUS,GYMNURA ALTAVELA,MYLIOBATIS FREMINVILLEI,CYTTOPSIS ROSEA,ARCTICA ISLANDICA,SCYLIORHINUS RETIFER,GADELLA IMBERBIS,GALATHEIDAE,OVALIPES STEPHENSONI,MYOXOCEPHALUS SCORPIUS,BELLATOR EGRETTA,ANARHICHAS LUPUS,SYNODONTIDAE,PETROMYZON MARINUS,LIMULUS POLYPHEMUS,ALOSA SAPIDISSIMA,RHIZOPRIONODON TERRAENOVAE,MICROPOGONIAS UNDULATUS,PANDALUS PROPINQUUS,PSEUDOPLEURONECTES AMERICANUS,CANCER IRRORATUS,STENOTOMUS CHRYSOPS,PRIONOTUS EVOLANS,PRIONOTUS ALATUS,PLACOPECTEN MAGELLANICUS,DASYATIS SAY,LIMANDA FERRUGINEA,AMBLYRAJA RADIATA,ARGYROPELECUS ACULEATUS,SEPIOLIDAE,KATHETOSTOMA ALBIGUTTA,UROPHYCIS CHUSS,STOMIIDAE,PARALICHTHYS SQUAMILENTUS,OPHICHTHIDAE,MELANOSTIGMA ATLANTICUM,ENCHELYOPUS CIMBRIUS,CYCLOPTERUS LUMPUS,LEPOPHIDIUM PROFUNDORUM,BATHYPOLYPUS ARCTICUS,PANDALUS BOREALIS,TRICHIURIDAE,SCOMBER SCOMBRUS,POLYMIXIA LOWEI,UROPHYCIS TENUIS,CRYPTACANTHODES MACULATUS,ALOSA PSEUDOHARENGUS,LEBBEUS GROENLANDICUS,ALOSA AESTIVALIS,CLUPEA HARENGUS,DICHELOPANDALUS LEPTOCERUS,RAJA EGLANTERIA,MACROURIDAE,MORONE SAXATILIS,BLENNIIDAE,ACIPENSER OXYRHYNCHUS,HIPPOGLOSSOIDES PLATESSOIDES,SCORPAENA BRASILIENSIS,LOPHIUS AMERICANUS,LUMPENUS LUMPRETAEFORMIS,SCOMBER JAPONICUS,MONOLENE SESSILICAUDA,LEUCORAJA GARMANI,CALLINECTES SAPIDUS,OPHIDIIDAE,CENTROPRISTIS STRIATA,UROPHYCIS FLORIDANA,MERLUCCIUS BILINEARIS,HEMITRIPTERUS AMERICANUS,SPISULA SOLIDISSIMA,BALISTES CAPRISCUS,PARALEPIDAE,UROPHYCIS SP,ETROPUS MICROSTOMUS,UROPHYCIS REGIA,UROPHYCIS CHESTERI,CRUSTACEA SHRIMP,EUMICROTREMUS SPINOSUS,BREVOORTIA TYRANNUS,TRACHURUS LATHAMI,LOPHIUS GASTROPHYSUS,SEBASTES FASCIATUS,POLLACHIUS VIRENS,REINHARDTIUS HIPPOGLOSSOIDES,LOLIGO PEALEII,MUSTELUS CANIS,ASPIDOPHOROIDES MONOPTERYGIUS,CEPHALOPODA,ACANTHOCARPUS ALEXANDRI,PEPRILUS TRIACANTHUS,SICYONIA BREVIROSTRIS,RACHYCENTRON CANADUM,SERIOLA RIVOLIANA,SERRANIDAE,OVALIPES OCELLATUS,CITHARICHTHYS SP,MERLUCCIUS ALBIDUS,SCOPHTHALMUS AQUOSUS,SCOMBRIDAE,MYXINE GLUTINOSA,ZENOPSIS CONCHIFERA,LEIOSTOMUS XANTHURUS,ARGOPECTEN GIBBUS,GYMNOTHORAX SAXICOLA,MAJIDAE,SPHOEROIDES DORSALIS,GASTROPSETTA FRONTALIS,SYNODUS FOETENS,PARALICHTHYS OBLONGUS,BENTHODESMUS SIMONYI,SYNGNATHIDAE,LOPHOLATILUS CHAMAELEONTICEPS,MYOXOCEPHALUS OCTODECEMSPINOSUS,CHAULIODUS SLOANI,TRASH SPECIES IN CATCH,DIPTURUS LAEVIS,PASIPHAEA MULTIDENTATA,LEBBEUS POLARIS
HB201501,201502,16,-73.18917,39.02233,14/03/2015-14:33:48,1740,0,0,385,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,11,0,9,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
HB201501,201502,150,-73.48884,39.97539,30/03/2015-14:55:49,1010,0,0,14,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201501,201502,357,-70.226182,41.9519,29/04/2015-00:34:55,3600,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,1,167,0,8,38,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0
HB201501,201502,314,-66.869582,42.18373,20/04/2015-01:18:31,1220,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,106,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,1,10,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20,224,0
HB201501,201502,419,-70.319515,43.230673,06/05/2015-09:41:45,1400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,55,0,1,0,5,0,536,0,45,83,750,0,0,0,0,0,33,0,8,2,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
HB201501,201502,159,-73.433717,40.499313,31/03/2015-04:44:40,3110,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201501,201502,67,-74.944215,35.736472,20/03/2015-07:32:00,1620,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,45,154,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HB201501,201502,54,-75.697732,34.519068,19/03/2015-03:33:36,8530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,127,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201501,201502,143,-72.521252,40.174862,30/03/2015-02:01:57,1020,0,0,117,0,5,246,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
HB201501,201502,377,-69.541418,42.547463,01/05/2015-06:44:22,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,20,2,0,0,1,1,0,0,0,12,0,5,0,0,11,2,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1591,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
HB201501,201502,366,-70.23479,42.645503,29/04/2015-20:44:16,1260,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0
HB201501,201502,289,-66.526403,41.32162,17/04/2015-14:47:19,1160,0,0,0,0,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
HB201501,201502,96,-73.933545,38.119935,25/03/2015-17:07:53,1710,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HB201501,201502,421,-70.245495,42.972602,06/05/2015-15:00:21,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143,0,6,1,0,0,0,33,0,0,0,0,4,0,0,1,275,0,0,0,0,0,85,0,3,2,222,0,0,0,0,0,141,0,2,0,0,0,0,0,0,0,0,1488,0,0,0,0,0,0,0,0,11,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HB201501,201502,338,-70.03619,42.072498,22/04/2015-22:32:46,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,431,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,0,1,0
HB201501,201502,302,-65.881643,42.380135,18/04/2015-16:16:18,1290,0,0,1,0,4,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
HB201501,201502,346,-70.636938,42.255768,28/04/2015-05:36:00,3640,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,6,0,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,0,0,0,0,0
HB201501,201502,173,-72.079318,40.903078,01/04/2015-03:34:12,3050,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201501,201502,350,-70.48684,42.044235,28/04/2015-13:38:11,3610,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
HB201501,201502,81,-74.809722,36.88345,24/03/2015-07:19:47,1650,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,30,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
HB201501,201502,297,-65.82516,41.782625,18/04/2015-04:58:02,1170,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,4,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0
HB201501,201502,238,-69.890798,41.78664,12/04/2015-16:15:28,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201501,201502,48,-75.62089,34.971342,18/03/2015-15:02:19,8500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
HB201501,201502,158,-73.606917,40.406622,31/03/2015-02:53:52,3110,0,0,0,0,7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
