cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,AMMODYTES DUBIUS,GALATHEIDAE,SPHYRNA ZYGAENA,HEMITRIPTERUS AMERICANUS,LEUCORAJA GARMANI,CALLINECTES SAPIDUS,PETROMYZON MARINUS,MACROURIDAE,SPHOEROIDES MACULATUS,CYCLOPTERUS LUMPUS,PRIONOTUS EVOLANS,PORTUNIDAE,CHAUNAX STIGMAEUS,SPHYRAENA SP,LOLIGO PEALEII,CLUPEA HARENGUS,UROPHYCIS CHESTERI,CITHARICHTHYS CORNUTUS,STENOTOMUS CHRYSOPS,ARGENTINA STRIATA,UROPHYCIS CHUSS,MACROZOARCES AMERICANUS,DASYATIS AMERICANA,CENTROPRISTIS STRIATA,CONGER OCEANICUS,STOMIIDAE,ETRUMEUS TERES,CITHARICHTHYS SP,PRIONOTUS STEARNSI,MERLUCCIUS BILINEARIS,MELANOGRAMMUS AEGLEFINUS,BREVOORTIA TYRANNUS,SYNODUS FOETENS,LEBBEUS POLARIS,SCORPAENIDAE,ALOSA AESTIVALIS,SCOMBER JAPONICUS,HELICOLENUS DACTYLOPTERUS,MYLIOBATIS FREMINVILLEI,SERIOLA ZONATA,BOTHIDAE,SARDINELLA AURITA,UROPHYCIS REGIA,CITHARICHTHYS ARCTIFRONS,TRICHIURUS LEPTURUS,UROPHYCIS TENUIS,BROSME BROSME,PONTOPHILUS NORVEGICUS,REINHARDTIUS HIPPOGLOSSOIDES,CYTTOPSIS ROSEA,LOPHIUS GASTROPHYSUS,LAGODON RHOMBOIDES,CARCHARHINUS BREVIPINNA,ANCHOA MITCHILLI,ARIOSOMA BALEARICUM,DASYATIS CENTROURA,CHLAMYS ISLANDICA,BATHYNECTES LONGISPINA,TAUTOGA ONITIS,TORPEDO NOBILIANA,TRACHINOCEPHALUS MYOPS,CETORHINUS MAXIMUS,ENCHELYOPUS CIMBRIUS,PRIONOTUS CAROLINUS,PSEUDOPLEURONECTES AMERICANUS,GLYPTOCEPHALUS CYNOGLOSSUS,ANTIGONIA CAPROS,OPHICHTHIDAE,ARCTICA ISLANDICA,ANARHICHAS LUPUS,SCOMBRIDAE,MACRORHAMPHOSUS SCOLOPAX,CAULOLATILUS MICROPS,AMBLYRAJA RADIATA,CRUSTACEA SHRIMP,ARIOMMA BONDI,GADUS MORHUA,UPENEUS PARVUS,MENTICIRRHUS AMERICANUS,ILLEX ILLECEBROSUS,SQUALUS ACANTHIAS,TRIGLOPS MURRAYI,LYCENCHELYS VERRILLI,PERISTEDION GRACILE,ZENOPSIS CONCHIFERA,LEUCORAJA OCELLATA,POLYMIXIA LOWEI,LEUCORAJA ERINACEA,RACHYCENTRON CANADUM,PORICHTHYS PLECTRODON,ANGUILLIFORMES,SPIRONTOCARIS LILJEBORGII,LARIMUS FASCIATUS,CHIONOECETES OPILIO,MUSTELUS CANIS,MONOLENE SESSILICAUDA,PARALICHTHYS DENTATUS,DASYATIS SAY,CARETTA CARETTA,ANCHOA HEPSETUS,PRIONOTUS RUBIO,PANDALUS PROPINQUUS,SERIOLA RIVOLIANA,ALUTERUS MONOCEROS,MALACORAJA SENTA,MICROPOGONIAS UNDULATUS,SQUATINA DUMERIL,MORONE SAXATILIS,GERYON QUINQUEDENS,FOETOREPUS AGASSIZI,TRACHURUS LATHAMI,CRYPTACANTHODES MACULATUS,ALOSA PSEUDOHARENGUS,LEBBEUS GROENLANDICUS,ORTHOPRISTIS CHRYSOPTERA,LEPOPHIDIUM PROFUNDORUM,STOMATOPODA,HIPPOGLOSSOIDES PLATESSOIDES,CHLOROPHTHALMUS AGASSIZI,MYOXOCEPHALUS OCTODECEMSPINOSUS,HIPPOGLOSSUS HIPPOGLOSSUS,MENTICIRRHUS SAXATILIS,SCOMBERESOX SAURUS,LITHODES MAJA,SCOPHTHALMUS AQUOSUS,LAGOCEPHALUS LAEVIGATUS,ASTROSCOPUS GUTTATUS,HOMARUS AMERICANUS,MAUROLICUS WEITZMANI,SQUALIDAE,PASIPHAEA MULTIDENTATA,SCYLIORHINUS RETIFER,OSMERUS MORDAX,STOLOTEUTHIS LEUCOPTERA,CEPHALOPODA,CRANGON SEPTEMSPINOSA,ARGENTINA SILUS,PEPRILUS TRIACANTHUS,CONGRIDAE,LIMULUS POLYPHEMUS,XENOLEPIDICHTHYS DALGLEISHI,PARASUDIS TRUCULENTA,BATHYPOLYPUS ARCTICUS,BALISTES CAPRISCUS,FISTULARIA PETIMBA,ACANTHOCARPUS ALEXANDRI,CARCHARHINUS PLUMBEUS,HEMANTHIAS AUREORUBENS,PROMETHICHTHYS PROMETHEUS,SYMPHURUS SP,POLLACHIUS VIRENS,POGONIAS CROMIS,UROPHYCIS SP,ARCHOSARGUS PROBATOCEPHALUS,CALAPPIDAE,OGCOCEPHALIDAE,DICHELOPANDALUS LEPTOCERUS,OVALIPES STEPHENSONI,MYCTOPHIDAE,MAJIDAE,PARALICHTHYS OBLONGUS,PANDALUS MONTAGUI,CYNOSCION REGALIS,PANDALUS BOREALIS,OVALIPES OCELLATUS,GYMNURA ALTAVELA,PRIONOTUS ALATUS,CANCER IRRORATUS,LUMPENUS LUMPRETAEFORMIS,DIPTURUS LAEVIS,CANCER BOREALIS,MYXINE GLUTINOSA,SICYONIA BREVIROSTRIS,SCOMBER SCOMBRUS,PLACOPECTEN MAGELLANICUS,SEPIOLIDAE,PARALEPIDAE,ETROPUS SP,PHOLIS GUNNELLUS,CHAULIODUS SLOANI,TRASH SPECIES IN CATCH,LEIOSTOMUS XANTHURUS,LOPHIUS AMERICANUS,TAUTOGOLABRUS ADSPERSUS,SCIAENOPS OCELLATUS,RAJA EGLANTERIA,SPISULA SOLIDISSIMA,RHIZOPRIONODON TERRAENOVAE,MELANOSTIGMA ATLANTICUM,DECAPTERUS PUNCTATUS,SEBASTES FASCIATUS,LIMANDA FERRUGINEA,ASPIDOPHOROIDES MONOPTERYGIUS,ALOSA SAPIDISSIMA,CHAETODIPTERUS FABER,POMATOMUS SALTATRIX,ACIPENSER OXYRHYNCHUS,MERLUCCIUS ALBIDUS
HB201601,201602,215,-69.746678,42.53979,17/05/2016-22:18:39,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,96,0,0,0,0,0,0,0,0,779,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0
HB201601,201602,89,-75.566892,36.1713,15/04/2016-17:50:31,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,312,-66.833897,42.475828,27/05/2016-13:53:50,1300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,473,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HB201601,201602,341,-68.744485,43.77414,30/05/2016-20:21:44,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2064,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,15,0,4,1,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,37,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
HB201601,201602,309,-66.263197,42.13055,27/05/2016-04:22:12,1210,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,3,1,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,34,0,0,3,1,98,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,338,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HB201601,201602,83,-75.548438,34.760523,14/04/2016-21:05:29,8520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,46,-74.644388,38.072275,11/04/2016-07:23:48,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,173,-70.188145,40.88857,09/05/2016-06:04:02,1090,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,188,0,0,0,0,0,0,0,0,4128,0,0,0,0,0,2,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,66,0,683,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,197,-69.22351,39.995238,11/05/2016-12:23:34,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
HB201601,201602,241,-67.993623,40.290507,20/05/2016-18:09:53,1150,0,1,0,0,0,0,1,0,0,0,0,4,0,0,22,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,707,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,26,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
HB201601,201602,299,-66.218265,41.584243,26/05/2016-07:03:11,1160,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
HB201601,201602,311,-66.469265,42.565133,27/05/2016-10:26:07,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,5,0,0,0,0,0,0,0,714,113,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,69,-74.801712,36.013185,13/04/2016-10:01:52,1630,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,57,-75.16406,37.344032,12/04/2016-09:43:59,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,346,-69.943557,43.505102,31/05/2016-17:21:18,1400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,19,0,0,0,0,0,0,0,0,7745,296,0,0,0,0,76,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,338,0,0,0,0,243,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,4,0,57,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,11,0,61,0,0,0,0
HB201601,201602,133,-72.261833,39.519267,20/04/2016-23:27:22,1040,0,1,0,0,1,0,1,1,0,0,0,0,1,0,710,0,0,0,0,17,25,0,0,0,2,0,0,0,0,5,0,0,0,0,148,0,0,60,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,62,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,164,0,15,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
HB201601,201602,258,-68.254677,42.455977,22/05/2016-07:29:15,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,99,1,0,0,0,0,0,0,0,752,17,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0
HB201601,201602,74,-75.24636,35.467202,13/04/2016-23:33:09,3440,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,388,1,0,0,0,0,777,1,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,587,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,324,-66.738755,43.46859,28/05/2016-21:11:38,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,57,47,0,0,0,0,0,0,0,593,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,32,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,86,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,159,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0
HB201601,201602,34,-74.587083,38.75149,10/04/2016-11:06:31,1690,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,337,-67.907732,43.861178,30/05/2016-09:12:09,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,56,0,0,0,0,0,0,0,0,408,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HB201601,201602,373,-70.700155,42.513205,03/06/2016-07:06:49,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,332,12,0,0,0,0,0,0,0,587,265,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,501,27,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,245,0,18,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,5,1090,0,0,0,0,0,0
HB201601,201602,114,-73.404657,38.521762,19/04/2016-05:01:42,1740,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1179,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,43,-74.661038,38.372108,11/04/2016-01:05:22,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201601,201602,189,-70.109768,40.005737,10/05/2016-19:10:13,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
